runtime,mass,mass_flowrate
2.6,2259,868.85
5.2,4658,895.77
8.4,7104,845.71
10.9,9580,878.90
14.8,13145,888.18
4,3491,872.75
6.5,5399,830.62
8.9,7189,807.75
12.1,9873,815.95
14.9,13086,878.26
3.1,2751,887.42
5.9,4886,828.14
8.9,7025,789.33
12.2,10214,837.21
15.2,13493,887.70
3.3,3010,912.12
6.1,5351,877.21
9.1,7724,848.79
12.2,10623,870.74
15.2,13711,902.04
3.2,2844,888.75
6.1,4979,816.23
8.9,7051,792.25
11.9,9663,812.02
15,12777,851.80
