size,fraction
63.245553,0
70.962678,8.20262E-05
79.621434,0.000174061
89.336718,0.000277326
100.237447,0.000393191
112.468265,0.000523194
126.191469,0.000669059
141.589157,0.000832723
158.865647,0.001016357
178.250188,0.001222397
200,0.001453579
224.403691,0.001712968
251.785082,0.002004008
282.507509,0.004460908
316.978638,0.007217594
355.655882,0.010310648
399.052463,0.013781111
447.744228,0.017675034
502.377286,0.022044088
563.676586,0.076575824
632.455532,0.192293174
709.626778,0.206412826
796.214341,0.331480177
893.367184,0.596875402
1002.374467,0.629258517
1124.68265,0.738914725
1261.914689,0.971607221
1415.891569,1
